category,near,away,share_near
Birds,832,2828,0.227
Insects,352,3467,0.092
Mammals,56,228,0.197
Other,109,179,0.378
Plants,333,1918,0.148
Reptiles,23,17,0.575
Spiders,16,92,0.148
