scientific_name,n
Danaus plexippus,167
Turdus migratorius,94
Larus delawarensis,90
Charadrius vociferus,89
Agelaius phoeniceus,88
Polyommatus icarus,84
Sciurus carolinensis,82
Harmonia axyridis,78
Junonia coenia,77
Passerculus sandwichensis,69
